k1,km1,k2,km2,kcat,dGo,alpha,kobs,RSS
2.165037977665385,1.9537436969759705,11869917.45812888,3820.2819936434703,1.0405258679078857,-3.2498,-4.0684,1698.9618766024212,0.6255245962018365
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.510773044645854
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6857853950906638
2.17652646177063,1.9803413409576174,11641274.628105322,3769.9080512358382,1.0583351600197943,-3.2498,-4.0684,1710.6802301687271,0.7600122870532915
2.1704980508844782,1.9783791846665957,11621851.05900749,3774.3878852712432,1.0610348164173522,-3.2498,-4.0684,1708.6973948885206,0.5702499781547651
2.1667375908613953,1.9086108398457182,12272311.439766608,3867.407604332309,1.0108334726874681,-3.2498,-4.0684,1704.9596704049666,0.6175045969024913
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6512121691609607
2.174002328349086,1.908353112682157,11966152.090617232,3825.1459965733193,1.0480484383826063,-3.2498,-4.0684,1745.492841553294,0.49786615681648627
2.1783345491441963,1.8142415495909785,12669731.76450941,3952.6744899350356,0.9887028316649826,-3.2498,-4.0684,1728.6413836559957,0.7906166848350213
2.1389421703594973,1.969590279655812,11297276.035319328,3760.4315913968803,1.0842164016448015,-3.2498,-4.0684,1695.2710409156587,0.6888083253003914
2.176021066937967,1.9835655183621816,11660693.192511866,3772.0778828193893,1.0586799219363265,-3.2498,-4.0684,1711.5888472603524,0.7774346279931553
2.178272641718058,1.9836201969757705,11604684.158375075,3784.5668097599155,1.0574570938559962,-3.2498,-4.0684,1696.6017716768458,0.7645393111310528
2.1772130097088622,1.9674438681502222,11591398.441336088,3785.9823199454822,1.0615133349255657,-3.2498,-4.0684,1706.7632965896837,0.8113079615471899
2.1916379633217655,1.9164752388542916,11643483.58775031,3805.387626217768,1.0612299928511133,-3.2498,-4.0684,1731.8045019612828,0.7082292409786022
2.1669506057828,1.9748092115699758,11624675.851588566,3767.3399738639205,1.058356917605355,-3.2498,-4.0684,1708.127573268887,0.7577662162168888
2.1696886282657686,1.8613443716828137,12285916.158157658,3882.106497181732,1.0204849353200531,-3.2498,-4.0684,1737.855296416038,0.6279023305199962
